Company,Stock_Code,Date,Current_Asset,Current_Liability,Inventory,Total_Liability,Total_Assets,EBIT,Interest_Expense,Accounts_Receivable,Accounts_Payable,Sales_revenue,Cost_of_Sales,Net_Profit,NOI,Net_Cash_Flows_from_Operating_Activities,Capital_Eexpenditure,,ROE,,,,,Current Ratio,Quick Ratio,Debt to Assets Ratio,Interest Coverage Ratio,Inventory Turnover Ratio,Accounts Receivable Turnover Ratio,Gross Profit Margin,Net Profit Margin,Capitalization Rate,Operating Cash Flow to Profit Ratio
公司名称,股票代码,报告时限,流动资产,流动负债,存货,总负债,总资产/资产总值,息税前利润,利息费用,平均应收账款（平均？）,应付账款,销售收入(销售商品、提供劳务收到的现金/营业收入？),销售成本(销售费用),净利润,年净营运收入NOI,经营活动产生的现金流量净额,资本支出,,净资产收益率,,,,,,,,,,,,,,
广田集团,19235904-1,2023年三季报,6583.7628 ,"14,707.82",425.51,"15,174.36","9,263.67",,,"3,331.95","4,995.58",720.45,"1,080.60",-818.5746083,-821.65,-,,,13.91%,,,,,,,,,,,,,,
广田集团,19235904-1,2023年中报,6774.8727 ,"14,612.56",444.15,"15,131.76","9,494.72",,,"3,411.68","5,002.95",521.82,723.17,-541.596978,-548.07,-15.53,,,9.59%,,,,,,,,,,,,,,
广田集团,19235904-1,2023年一季报,7369.7086 ,"14,648.17",688.73,"15,246.59","10,071.86",,,"3,302.63","5,280.49",150.35,138.50,-142.4988866,-142.29,-,,,2.77%,,,,,,,,,,,,,,
广田集团,19235904-1,2022年年报,8047.5845 ,"15,203.30",573.13,"15,800.79","10,785.96",,,"3,486.76","5,676.60","3,563.73","5,146.77",-5513.443279,"-5,617.81",-900.34,,,109.77%,,,,,,,,,,,,,,
广田集团,19235904-1,2022年三季报,11130.4930 ,"13,311.57",726.48,"13,971.23","14,042.79",,,"4,711.72","5,134.04","2,492.77","2,311.97",-425.5165047,-437.07,-,,,-607.69%,,,,,,,,,,,,,,
广田集团,19235904-1,2022年中报,11391.4874 ,"13,394.90",732.68,"14,051.37","14,324.31",,,"4,741.24","5,328.14","1,635.95","1,496.36",-251.6096791,-258.09,-892.73,,,-92.28%,,,,,,,,,,,,,,
广田集团,19235904-1,2022年一季报,12601.0243 ,"13,913.79",707.19,"15,113.73","15,573.95",,,"5,219.58","5,952.33",917.97,828.23,-78.21103548,-77.86,-,,,-16.75%,,,,,,,,,,,,,,
山水比德,79943573-3,2023年三季报,761.8349 ,147.90,-,150.83,962.34,,,264.54,21.83,213.38,151.80,-35.44180343,-40.92,-,,,-4.39%,,,,,,,,,,,,,,
山水比德,79943573-3,2023年中报,798.1115 ,160.61,-,163.82,990.12,,,274.06,22.62,149.58,107.33,-20.67245352,-23.10,10.20,,,-2.50%,,,,,,,,,,,,,,
山水比德,79943573-3,2023年一季报,853.1928 ,162.72,-,179.55,"1,017.19",,,256.95,1.48,63.49,48.27,-9.12417402,-12.55,-,,,-1.09%,,,,,,,,,,,,,,
山水比德,79943573-3,2022年年报,886.6018 ,171.36,-,188.77,"1,035.60",,,294.83,19.38,330.60,286.28,-122.2872385,-147.70,-99.14,,,-14.40%,,,,,,,,,,,,,,
山水比德,79943573-3,2022年三季报,981.3425 ,176.45,-,207.73,"1,084.34",,,338.54,6.61,227.32,206.55,-91.40557305,-91.45,-,,,-10.47%,,,,,,,,,,,,,,
山水比德,79943573-3,2022年中报,1015.5013 ,184.19,-,208.36,"1,122.47",,,354.40,7.40,159.82,142.35,-54.05065052,-53.38,-84.82,,,-5.91%,,,,,,,,,,,,,,
山水比德,79943573-3,2022年一季报,1002.9140 ,189.96,-,219.95,"1,136.59",,,350.26,6.04,52.54,76.65,-63.105794,-63.16,-,,,-6.85%,,,,,,,,,,,,,,
易林建设,24270763-1,2023年中报,122.0971 ,62.83,58.35,67.43,122.71,,,33.03,33.21,9.8713,8.4918,1.19245304,1.16,-2.79,,,2.15%,,,,,,,,,,,,,,
易林建设,24270763-1,2022年年报,116.0740 ,57.85,58.30,62.69,116.78,,,30.20,31.30,51.04,43.80,-8.69173734,-7.42,4.27,,,-16.07%,,,,,,,,,,,,,,
易林建设,24270763-1,2022年中报,124.9417 ,65.30,63.07,65.30,128.09,,,28.05,31.54,25.23,21.08,0.00252325,-1.09,0.03,,,0.00%,,,,,,,,,,,,,,
