企业名称,股票代码,旧名称,登记状态,注册资本,参保人数,参保人数所属年报,通信地址,统一社会信用代码,企业规模,成立日期,所属省份,所属城市,所属区县,邮箱,更多邮箱,注册号,纳税人资质,企业（机构）类型,国标行业门类,国标行业大类,国标行业中类,国标行业小类,企查查行业门类,企查查行业大类,企查查行业中类,企查查行业小类,企业地址,曾用名,英文名,经营范围
碧桂园,02007,碧桂园,存续,,,,,,,,,,,,,,,,,,,,,,,,,,,
恒大集团有限公司,03333,恒大集团有限公司,存续,,,,,,,,,,,,,,,,,,,,,,,,,,,
大悦城控股集团股份有限公司,000031,大悦城控股集团股份有限公司,在业,,,,,,,,,,,,,,,,,,,,,,,,,,,
南都物业,603506,南都物业,存续,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川蓝光发展股份有限公司,600466,四川蓝光发展股份有限公司,存续,,,,,,,,,,,,,,,,,,,,,,,,,,,
"江苏中南建设集团股份有限公司
",000961,"江苏中南建设集团股份有限公司
",存续,,,,,,,,,,,,,,,,,,,,,,,,,,,
华夏幸福基业股份有限公司,SH600340,华夏幸福基业股份有限公司,存续,391438.1782万元人民币,29,2022年报,-,911310006096709523,L(大型),1993-05-28,河北省,廊坊市,固安县,gongsilianxiren@cfldcn.com,ir@cfldcn.com,131000000030087,增值税一般纳税人,其他股份有限公司（上市）,租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理,房地产,房地产开发,产业地产,-,河北省固安县京开路西侧三号路北侧一号,华夏幸福基业投资开发股份有限公司,"China Fortune Land Development Co., Ltd.",对房地产、工业园区及基础设施建设投资；房地产中介服务；提供施工设备服务；企业管理咨询；生物医药研发，科技技术推广、服务。
北京电子城高科技集团股份有限公司,SH600658,北京电子城投资开发集团股份有限公司,存续,111858.5045万元人民币,175,2022年报,-,91110000101514043Y,L(大型),1986-12-24,北京市,北京市,朝阳区,bez@bez.com.cn,wangzx@bez.com.cn;chenxy@bez.com.cn;GYL@bez.com.cn;guoyl@bez.com.cn,110000001007641,增值税一般纳税人,其他股份有限公司（上市）,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,其他技术推广服务,房地产,房地产开发,产业地产,-,北京市朝阳区酒仙桥路6号院5号楼15层1508室,"北京电子城投资开发集团股份有限公司,
北京电子城投资开发股份有限公司,
北京兆维科技股份有限公司,
北京市天龙股份有限公司","Beijing Electronic Zone High-tech Group Co., Ltd.",高新技术成果（企业）的孵化；投资及投资管理；房地产开发及商品房销售；物业管理；销售五金交电（不含电动自行车）、建筑材料；货物进出口、技术进出口、代理进出口；信息咨询（未经专项审批项目不得经营）；房地产经纪业务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
京投发展股份有限公司,SH600683,京投发展股份有限公司,存续,74077.7597万元人民币,108,2022年报,北京北京市朝阳区建国门外大街2号北京银泰中心C座17层（王亚苹15810197022）,91330200144052096U,L(大型),1992-09-08,浙江省,宁波市,海曙区,wangyp@600683.com,shoujun@600683.com,330200000007765,增值税一般纳税人,其他股份有限公司（上市）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,浙江省宁波市海曙区中山东路238号,"京投银泰股份有限公司,
银泰控股股份有限公司,
宁波华联集团股份有限公司",Metro Land Corporation Ltd.,房地产开发、经营及租赁。自营和代理货物和技术的进出口，但国家限制或禁止进出口的货物和技术除外；技术咨询、房地产咨询、实业投资及咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
黑牡丹（集团）股份有限公司,SH600510,黑牡丹(集团)股份有限公司,在业,104055.9801万元人民币,95,2022年报,-,913204001371876030,L(大型),1993-05-28,江苏省,常州市,天宁区,600510@blackpeony.com,bangongshi@blackpeony.com,320400000003727,增值税一般纳税人,股份有限公司（上市）,制造业,化学纤维制造业,纤维素纤维原料及纤维制造,-,房地产,房地产开发,住宅开发,-,常州市青洋北路47号,-,"Black Peony (Group) Co., Ltd.",针纺织品、服装的制造、加工，棉花收购、加工、销售；自营和代理各类商品和技术的进出口业务（国家限制或禁止公司进出口的商品和技术除外）；建筑材料、装潢材料、百货、五金、交电、化工产品（除危险品）、劳保用品、日用杂货（烟花爆竹除外）、针纺织品销售；对外投资服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
北京中迪投资股份有限公司,SZ000609,北京中迪投资股份有限公司,存续,29926.5522万元人民币,8,2022年报,北京市朝阳区东三环南路1号院2号佳龙大厦十二层1201,911101061027678948,M(中型),1993-08-02,北京市,北京市,丰台区,zdinvest@zdinvest.com,admin@mainstreets.cn,110000005016609,一般纳税人,其他股份有限公司（上市）,租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理,房地产,房地产开发,住宅开发,-,北京市丰台区海鹰路1号院六号楼5层,"北京绵石投资集团股份有限公司,
北京绵世投资集团股份有限公司,
北京燕化高新技术股份有限公司","Beijing Zodi Investment Co., Ltd.",投资及投资管理；房地产开发；物业管理；施工总承包；销售机械电子设备、五金交电、化工产品（不含危险化学品及一类易制毒化学品）、百货、建筑材料；货物进出口、技术进出口、代理进出口。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
铁岭新城投资控股（集团）股份有限公司,SZ000809,铁岭新城投资控股(集团)股份有限公司,存续,82479.1293万元人民币,10,2022年报,辽宁省铁岭市新城区金沙江路12号,91211200201909093K,M(中型),1996-11-05,辽宁省,铁岭市,铁岭县,17126101@qq.com,zhaonan1106@163.com;tlxc809@163.com,510100000151631,-,其他股份有限公司（上市）,租赁和商务服务业,商务服务业,组织管理服务,企业总部管理,房地产,房地产开发,住宅开发,-,铁岭市凡河新区金沙江路12号,"铁岭新城投资控股股份有限公司,
四川中汇医药（集团）股份有限公司,
四川第一纺织股份有限公司",Tieling Newcity Investment Holding (Group) Limited,许可项目：建设工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：土地整治服务；企业管理咨询；风电场相关系统研发；风电场相关装备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
深圳香江控股股份有限公司,SH600162,深圳香江控股股份有限公司,存续,326843.8122万元人民币,-,-,广州市番禺区番禺大道锦绣香江花园会所香江控股办公楼,91440300267146826U,L(大型),1994-01-30,广东省,深圳市,南山区,zhaohongjian@heungkong.com,dongchun@hkhc.com.cn;xiehengyang@hkhc.com.cn;hkhc@hkhc.com.cn,440301103050934,一般纳税人,上市股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,深圳市前海深港合作区南山街道兴海大道3046号香江金融大厦32楼-A1,-,"Shenzhen HeungKong Holding Co., Ltd.",一般经营项目是：投资兴办实业（具体项目另行申报）；物业管理；从事建筑工程和装饰工程的施工（须取得相应的资质证书后方可经营）；企业形象策划；酒店管理；国内商业、物资供销业（不含专营、专控、专卖商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；经济信息咨询（不含限制项目）；供应链管理。，许可经营项目是：仓储服务。
南京高科股份有限公司,SH600064,南京高科股份有限公司,在业,173033.9644万元人民币,62,2022年报,南京市栖霞区学津路8号,91320192134917922L,L(大型),1992-07-08,江苏省,南京市,栖霞区,sxjcjiahui@outlook.com,zgb0501@163.com;600064@600064.com,320192000001237,增值税一般纳税人,股份有限公司（上市）,房地产业,房地产业,-,-,房地产,房地产开发,住宅开发,-,南京经济技术开发区恒通大道2号,"南京新港高科技股份有限公司,
南京新港经济技术开发股份有限总公司,
南京新港股份有限公司",Nanjing Gaoke Company Limited,"许可项目：房地产开发经营；建设工程施工；建设工程监理（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
一般项目：股权投资；创业投资（限投资未上市企业）；以自有资金从事投资活动；企业总部管理；非居住房地产租赁；住房租赁；商业综合体管理服务；物业管理；土地整治服务；工程管理服务；市政设施管理；污水处理及其再生利用；水环境污染防治服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
山子高科技股份有限公司,SZ000981,银亿股份有限公司,存续,999747.0888万元人民币,0,2022年报,浙江省宁波市鄞州区中山东路1800号国华金融中心42楼,91620000710207508J,L(大型),1998-08-31,甘肃省,兰州市,城关区,000981@sensteed.com,gzy8734@163.com,620000000005955,增值税一般纳税人,股份有限公司（上市）,制造业,-,-,-,房地产,房地产开发,住宅开发,-,甘肃省兰州市城关区高新技术开发区张苏滩573号八楼,"银亿股份有限公司,
银亿房地产股份有限公司,
甘肃兰光科技股份有限公司","Shanzi High-Tech Co., Ltd.",许可项目：房地产开发经营；住宅室内装饰装修；道路机动车辆生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）***一般项目：物业管理；建筑材料销售；住房租赁；园林绿化工程施工；规划设计管理；新型建筑材料制造（不含危险化学品）；以自有资金从事投资活动；汽车零部件研发；工程和技术研究和试验发展；新能源汽车生产测试设备销售；汽车零部件及配件制造；汽车零配件零售；汽车零配件批发；新能源原动设备制造；新能源原动设备销售；汽车装饰用品制造；汽车装饰用品销售；电车制造；新能源汽车整车销售；智能车载设备制造；智能车载设备销售；半导体器件专用设备制造；半导体器件专用设备销售；智能无人飞行器制造；智能无人飞行器销售；智能机器人的研发；人工智能硬件销售；智能机器人销售；电力电子元器件制造；电力电子元器件销售；电子专用设备制造；导航终端制造；集成电路芯片及产品制造；集成电路芯片及产品销售；货币专用设备制造；集成电路制造；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
天津中绿电投资股份有限公司,SZ000537,天津广宇发展股份有限公司,存续,186252.072万元人民币,3,2022年报,北京市朝阳区朝外大街5号院10层,9112000010310067X6,L(大型),1986-03-05,天津市,天津市,滨海新区,tjgyfz@163.com,tjgyfz@yeah.net;TJGYFZ@126.COM,120000000002890,增值税一般纳税人,股份有限公司（上市）,批发和零售业,批发业,机械设备、五金产品及电子产品批发,-,房地产,房地产开发,住宅开发,-,天津经济技术开发区新城西路52号6号楼202-4单元,"天津广宇发展股份有限公司,
天津立达国际商场股份有限公司,
天津南开戈德股份有限公司","Tianjin Zhonglvdian Investment Co., Ltd.",许可项目：发电业务、输电业务、供（配）电业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：以自有资金从事投资活动；新兴能源技术研发；储能技术服务；节能管理服务；电动汽车充电基础设施运营；环保咨询服务；生态恢复及生态保护服务；专用设备制造（不含许可类专业设备制造）；电气设备修理；机械设备租赁；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。
苏州新区高新技术产业股份有限公司,SH600736,苏州新区高新技术产业股份有限公司,在业,115129.2907万元人民币,80,2022年报,江苏省苏州市高新区锦峰路199号锦峰国际商务大厦A座20楼,9132000025161746XP,L(大型),1994-06-28,江苏省,苏州市,虎丘区,zhu.hl@sndnt.com,han.s@sndnt.com;gong.zb@sndnt.com,320000000009807,增值税一般纳税人,股份有限公司（上市）,租赁和商务服务业,-,-,-,房地产,房地产开发,住宅开发,-,苏州市新区运河路8号,-,"Suzhou New DISTRICT HI-TECH Industrial Co., Ltd.",高新技术产品的投资、开发、生产，能源、交通、通讯等基础产业、市政基础设施的投资，工程设计、施工，科技咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
济南高新发展股份有限公司,SH600807,山东天业恒基股份有限公司,在业,88463.4731万元人民币,199,2022年报,-,91370000267172303L,L(大型),1993-01-16,山东省,济南市,济南高新技术产业开发区,jgfz600807@163.com,hengjigongshang@163.com,370000018010703,增值税一般纳税人,股份有限公司（上市）,批发和零售业,批发业,文化、体育用品及器材批发,其他文化用品批发,房地产,房地产开发,住宅开发,-,中国（山东）自由贸易试验区济南片区舜华街道龙奥北路1577号龙奥天街广场主办公楼1701,"山东天业恒基股份有限公司,
济南百货大楼股份有限公司,
山东济南百货大楼（集团）股份有限公司,
济南市百货大楼","Jinan High-tech Development Co., Ltd.",纺织、服装、鞋帽及日用品、五金交电化工（不含化学危险品）、建筑及装饰材料、日用杂货（不含烟花爆竹）、家具、摩托车、钢材、商品房、汽车（不含小轿车）、文化体育用品及器材、电子产品、通信设备（不含无线电发射器材）的销售；房屋、柜台出租；工艺美术品（含金银饰品零售、翻新）；仓储（不含危险化学品）；装饰装修、物业管理（须凭资质证书经营）；企业管理服务；电子信息技术的开发、服务及培训；房地产开发、销售（凭资质证书经营）；矿业投资；矿产品开采的技术开发、技术咨询及技术服务；工程管理服务；投资咨询服务；房地产中介服务；土地管理服务；房屋拆迁服务；黄金制品、铂金制品、非金属矿及制品的批发、展示及零售；黄金矿山专用设备及物资的销售；从事货物及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
